,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
103,Dormagen,780,"0,7",252,"0,6",528,"0,9","14,6",2017,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
104,Kaarst,763,"0,7",353,"0,8",410,"0,7",14,2017,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
105,Grevenbroich,709,"0,7",296,"0,7",413,"0,7","21,7",2017,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
106,Willich,755,"0,7",283,"0,6",472,"0,8","20,6",2017,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
107,Viersen,470,"0,4",238,"0,5",232,"0,4","31,5",2017,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
108,Kempen,203,"0,2",89,"0,2",114,"0,2","30,5",2017,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
109,Tönisvorst,149,"0,1",80,"0,2",69,"0,1","26,6",2017,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
110,Nettetal,104,"0,1",51,"0,1",53,"0,1","40,1",2017,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
111,alle sonstigen Orte,29 167    ,"27,9",11 552    ,"26,1",17 615    ,"29,2",x,2017,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
112,Köln,9404,"8,886536953",3860,"8,671039626",5544,"9,043013033","34,2",2018,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
113,Essen,5714,"5,399582321",2578,"5,791176206",3136,"5,115239695","26,4",2018,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
114,Duisburg,4683,"4,425313968",2099,"4,715158595",2584,"4,214853116","23,3",2018,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
115,Krefeld,3638,"3,437815976",1491,"3,349357534",2147,"3,502047075","20,2",2018,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
116,Wuppertal,3221,"3,043761753",1435,"3,223560068",1786,"2,913207301","25,1",2018,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
117,Mönchengladbach,2773,"2,620413332",1291,"2,90008087",1482,"2,417342228","28,9",2018,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
118,Leverkusen,1911,"1,80584561",789,"1,772396442",1122,"1,83013359","24,9",2018,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
119,Mülheim an der Ruhr,1798,"1,699063531",772,"1,734207925",1026,"1,67354462","19,6",2018,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
120,Solingen,1630,"1,540307873",690,"1,550004493",940,"1,533267001","20,4",2018,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
121,Bonn,1159,"1,095225046",486,"1,091742295",673,"1,097753927","62,6",2018,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
122,Dortmund,1102,"1,041361519",474,"1,064785695",628,"1,024352847",31,2018,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
123,Oberhausen,1093,"1,032856751",386,"0,867103963",707,"1,153212521","55,8",2018,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
